City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,10.97,80,75,0.0,US,1724866869
1,adamstown,-25.066,-130.1015,18.68,66,98,1.74,PN,1724866870
2,jamestown,42.097,-79.2353,28.9,65,75,3.6,US,1724866859
3,nelson bay,-32.7167,152.15,17.78,50,22,2.24,AU,1724866872
4,thunder bay,48.4001,-89.3168,17.95,59,75,6.69,CA,1724866774
5,rosetta,31.4044,30.4164,26.81,74,26,4.65,EG,1724866874
6,ushuaia,-54.8,-68.3,0.81,100,100,11.83,AR,1724866872
7,puerto natales,-51.7236,-72.4875,4.25,81,100,10.29,CL,1724866538
8,hithadhoo,-0.6,73.0833,28.52,75,97,4.28,MV,1724866877
9,hobyo,5.3505,48.5268,25.63,86,5,9.61,SO,1724866878
10,albany,42.6001,-73.9662,28.69,64,88,4.07,US,1724866390
11,general acha,-37.377,-64.6043,19.29,36,28,7.13,AR,1724866882
12,port-aux-francais,-49.35,70.2167,4.59,95,100,7.8,TF,1724866883
13,sisimiut,66.9395,-53.6735,6.15,89,100,4.03,GL,1724866884
14,edinburgh of the seven seas,-37.0676,-12.3116,13.53,94,100,17.06,SH,1724866885
15,haiku-pauwela,20.9219,-156.3051,24.57,92,12,0.45,US,1724866886
16,isafjordur,66.0755,-23.124,7.02,87,75,5.14,IS,1724866887
17,bethanie,-26.4833,17.15,11.72,36,0,6.17,NA,1724866888
18,iqaluit,63.7506,-68.5145,8.85,66,75,12.35,CA,1724866889
19,bac lieu,9.285,105.7244,25.89,91,100,4.93,VN,1724866890
20,west island,-12.1568,96.8225,26.99,74,40,7.72,CC,1724866891
21,arraial do cabo,-22.9661,-42.0278,23.98,46,0,7.2,BR,1724866892
22,waitangi,-43.9535,-176.5597,11.01,96,19,1.79,NZ,1724866893
23,bel ombre,-4.6167,55.4167,25.91,83,40,7.72,SC,1724866894
24,qaqortoq,60.7167,-46.0333,12.05,78,100,4.99,GL,1724866896
25,necochea,-38.5473,-58.7368,16.25,55,65,4.37,AR,1724866897
26,puerto ayora,-0.7393,-90.3518,19.75,95,77,1.34,EC,1724866898
27,brookings,44.3114,-96.7984,26.36,69,0,5.14,US,1724866682
28,saipan,15.1355,145.701,29.39,84,40,6.17,MP,1724866652
29,changyon,38.2508,125.0961,21.76,86,0,1.9,KP,1724866901
30,bethel,41.3712,-73.414,31.36,65,75,3.09,US,1724866638
31,vorgashor,67.5833,63.95,10.58,74,100,3.48,RU,1724866903
32,papatowai,-46.5619,169.4708,9.71,75,41,6.51,NZ,1724866904
33,vychegodskiy,61.247,46.8984,14.21,71,63,1.88,RU,1724866905
34,al jawf,29.5,38.75,31.57,17,6,4.74,SA,1724866906
35,yellowknife,62.456,-114.3525,16.9,77,40,3.6,CA,1724866907
36,ilulissat,69.2167,-51.1,6.01,65,75,3.09,GL,1724866908
37,sechura,-5.5569,-80.8222,24.42,57,37,5.65,PE,1724866910
38,khorixas,-20.3667,14.9667,21.02,19,0,4.83,NA,1724866911
39,mana,5.6592,-53.7767,29.52,65,54,0.69,GF,1724866912
40,blackmans bay,-43.0167,147.3167,7.07,84,92,1.34,AU,1724866913
41,ribeira grande,38.5167,-28.7,27.22,57,40,4.12,PT,1724866914
42,ankang,32.68,109.0172,22.62,77,9,1.95,CN,1724866915
43,paracatu,-17.2222,-46.8747,30.66,27,2,3.52,BR,1724866916
44,page,36.9147,-111.4558,29.27,20,0,2.06,US,1724866917
45,dunedin,-45.8742,170.5036,9.89,75,15,1.34,NZ,1724866918
46,tikhvin,59.6451,33.5294,15.07,77,29,1.92,RU,1724866919
47,cabo san lucas,22.8909,-109.9124,34.17,57,0,5.14,MX,1724866701
48,touros,-5.1989,-35.4608,27.25,64,44,8.69,BR,1724866921
49,dapchi,12.4904,11.4944,28.83,61,97,2.77,NG,1724866924
50,codrington,-38.2667,141.9667,8.35,85,93,5.22,AU,1724866925
51,clarion,41.2148,-79.3853,27.59,51,22,2.25,US,1724866926
52,tambacounda,13.7539,-13.7586,31.03,74,40,3.09,SN,1724866927
53,skiathos,39.1623,23.4909,30.09,58,0,2.57,GR,1724866928
54,lamar,33.6668,-95.5836,34.38,48,0,2.57,US,1724866929
55,klyuchi,52.2667,79.1667,13.84,79,25,1.67,RU,1724866930
56,remire-montjoly,4.9167,-52.2667,33.02,58,20,1.54,GF,1724866931
57,nagqu,31.5,92.0,3.18,91,94,0.92,CN,1724866932
58,grytviken,-54.2811,-36.5092,3.3,89,100,1.64,GS,1724866933
59,longyearbyen,78.2186,15.6401,7.91,66,0,7.2,SJ,1724866934
60,sciacca,37.5082,13.0881,25.28,55,82,2.21,IT,1724866935
61,egilsstadir,65.2653,-14.3948,9.95,87,75,2.57,IS,1724866936
62,bardai,11.65,7.2333,23.19,89,94,3.1,NG,1724866939
63,tazovsky,67.4667,78.7,11.08,89,33,3.16,RU,1724866940
64,bilibino,68.0546,166.4372,-0.29,88,100,2.67,RU,1724866941
65,cienaga,11.007,-74.2476,33.07,70,20,2.57,CO,1724866942
66,fale old settlement,-9.3852,-171.2468,27.89,72,0,6.94,TK,1724866943
